Width,Length,Rim Angle,Focal Length,Parabola Height,Arc Length,Surface Area,Concentration Ratio,Aspect Ratio,Arc Angle,Parabola Coefficient
0.5,4,78,0.15436,0.10122,0.55024,2.20094,1.10047,8,1.36136,1.61957
1,2,78,0.30872,0.20245,1.10047,2.20094,1.10047,2,1.36136,0.80978
0.75,2.66667,78,0.23154,0.15183,0.82535,2.20094,1.10047,3.55556,1.36136,1.07971
0.65,3.07692,78,0.20067,0.13159,0.71531,2.20094,1.10047,4.73373,1.36136,1.24582
0.7,2.85714,78,0.21611,0.14171,0.77033,2.20094,1.10047,4.08163,1.36136,1.15683
0.55,3.63636,78,0.1698,0.11135,0.60526,2.20094,1.10047,6.61157,1.36136,1.47233
1.1,1.81818,78,0.3396,0.22269,1.21052,2.20094,1.10047,1.65289,1.36136,0.73617
1.25,1.6,78,0.38591,0.25306,1.37559,2.20094,1.10047,1.28,1.36136,0.64783
1.4,1.42857,78,0.43221,0.28342,1.54066,2.20094,1.10047,1.02041,1.36136,0.57842
1.45,1.37931,78,0.44765,0.29355,1.59568,2.20094,1.10047,0.95125,1.36136,0.55847
1.3,1.53846,78,0.40134,0.26318,1.43061,2.20094,1.10047,1.18343,1.36136,0.62291
0.9,2.22222,78,0.27785,0.1822,0.99042,2.20094,1.10047,2.46914,1.36136,0.89976
1.5,1.33333,78,0.46309,0.30367,1.65071,2.20094,1.10047,0.88889,1.36136,0.53986
0.85,2.35294,78,0.26242,0.17208,0.9354,2.20094,1.10047,2.76817,1.36136,0.95269
1.2,1.66667,78,0.37047,0.24294,1.32057,2.20094,1.10047,1.38889,1.36136,0.67482
0.6,3.33333,78,0.18523,0.12147,0.66028,2.20094,1.10047,5.55556,1.36136,1.34964
1.15,1.73913,78,0.35503,0.23281,1.26554,2.20094,1.10047,1.51229,1.36136,0.70416
